bat_team,bowl_team,runs,wickets,overs,striker,non-striker,total
Kolkata Knight Riders,Royal Challengers Bangalore,61,0,5.1,41,10,222
Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.2,41,10,222
Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.3,41,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.4,41,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.5,41,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.6,41,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,62,1,6.1,42,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,63,1,6.2,42,1,222
Kolkata Knight Riders,Royal Challengers Bangalore,64,1,6.3,43,1,222
Kolkata Knight Riders,Royal Challengers Bangalore,66,1,6.4,43,3,222
Kolkata Knight Riders,Royal Challengers Bangalore,67,1,6.5,43,4,222
Kolkata Knight Riders,Royal Challengers Bangalore,68,1,6.6,44,4,222
Kolkata Knight Riders,Royal Challengers Bangalore,68,1,7.1,44,4,222
Kolkata Knight Riders,Royal Challengers Bangalore,69,1,7.2,45,4,222
Kolkata Knight Riders,Royal Challengers Bangalore,70,1,7.3,45,5,222
Kolkata Knight Riders,Royal Challengers Bangalore,71,1,7.4,46,5,222
Kolkata Knight Riders,Royal Challengers Bangalore,72,1,7.5,46,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,73,1,7.6,47,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.1,47,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.2,47,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.3,47,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,74,1,8.4,48,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,75,1,8.5,48,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,77,1,8.6,50,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,78,1,9.1,50,8,222
Kolkata Knight Riders,Royal Challengers Bangalore,79,1,9.2,51,8,222
Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.3,51,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.4,51,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,86,1,9.5,57,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,87,1,9.6,58,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,88,1,10.1,59,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.2,59,13,222
Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.3,59,13,222
Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.4,59,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.5,59,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,102,1,10.6,59,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,102,1,11.1,59,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,108,1,11.2,65,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,110,1,11.3,67,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,111,1,11.4,68,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,111,1,11.5,68,19,222
Kolkata Knight Riders,Royal Challengers Bangalore,112,1,11.6,68,20,222
Kolkata Knight Riders,Royal Challengers Bangalore,112,2,12.1,68,20,222
Kolkata Knight Riders,Royal Challengers Bangalore,116,2,12.2,72,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,116,2,12.3,72,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,118,2,12.4,74,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,119,2,12.4,74,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,123,2,12.5,78,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,124,2,12.6,79,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,125,2,13.1,80,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,125,2,13.2,80,0,222
Kolkata Knight Riders,Royal Challengers Bangalore,126,2,13.3,80,1,222
Kolkata Knight Riders,Royal Challengers Bangalore,127,2,13.4,81,1,222
Kolkata Knight Riders,Royal Challengers Bangalore,128,2,13.5,81,2,222
Kolkata Knight Riders,Royal Challengers Bangalore,130,2,13.6,83,2,222
Kolkata Knight Riders,Royal Challengers Bangalore,134,2,14.1,83,6,222
Kolkata Knight Riders,Royal Challengers Bangalore,135,2,14.2,83,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,141,2,14.3,89,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,145,2,14.4,93,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,147,2,14.4,93,7,222
Kolkata Knight Riders,Royal Challengers Bangalore,148,2,14.5,93,8,222
Kolkata Knight Riders,Royal Challengers Bangalore,154,2,14.6,99,8,222
Kolkata Knight Riders,Royal Challengers Bangalore,154,2,15.1,99,8,222
Kolkata Knight Riders,Royal Challengers Bangalore,155,2,15.2,99,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,157,2,15.3,101,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,157,2,15.4,101,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,158,2,15.5,102,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,158,2,15.6,102,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,159,2,16.1,103,9,222
Kolkata Knight Riders,Royal Challengers Bangalore,161,2,16.2,103,11,222
Kolkata Knight Riders,Royal Challengers Bangalore,162,2,16.3,103,12,222
Kolkata Knight Riders,Royal Challengers Bangalore,168,2,16.4,109,12,222
Kolkata Knight Riders,Royal Challengers Bangalore,170,2,16.5,111,12,222
Kolkata Knight Riders,Royal Challengers Bangalore,172,2,16.6,113,12,222
